iter	RMSE
0	77618.32651
1	77351.03943
2	77102.62618
3	76800.0875
4	76549.24054
5	76353.55193
6	76062.11953
7	75823.34553
8	75563.08991
9	75368.97775
10	75144.3541
11	74914.56088
12	74648.14714
13	74389.47637
14	74127.09502
15	73842.09297
16	73629.11595
17	73369.92791
18	73139.58196
19	72853.95315
20	72595.22807
21	72412.46727
22	72297.6765
23	72088.14684
24	71866.22454
25	71646.89117
26	71389.31262
27	71195.99189
28	71001.927
29	70794.811
30	70571.1887
31	70379.65305
32	70160.23617
33	69938.94132
34	69684.84573
35	69510.69644
36	69263.53327
37	69096.65088
38	68883.46081
39	68701.44174
40	68484.97241
41	68259.75188
42	68041.33917
43	67852.28994
44	67652.35309
45	67431.48834
46	67287.13488
47	67080.60488
48	66870.54818
49	66646.38851
50	66474.84579
51	66283.4414
52	66095.24981
53	65911.88833
54	65715.97953
55	65536.35411
56	65337.60566
57	65176.02167
58	64993.07777
59	64810.47713
60	64600.51007
61	64398.67242
62	64199.79699
63	64039.94076
64	63829.5682
65	63662.42582
66	63517.0453
67	63338.35477
68	63162.62691
69	62957.62413
70	62759.29209
71	62579.49641
72	62423.00486
73	62227.73549
74	62056.21915
75	61915.2521
76	61745.75856
77	61594.45695
78	61435.85443
79	61284.6313
80	61165.70719
81	60986.8006
82	60827.36837
83	60662.18979
84	60469.61665
85	60323.63101
86	60180.79398
87	60020.65175
88	59898.94326
89	59712.67328
90	59588.70765
91	59448.09151
92	59289.83125
93	59112.2353
94	59012.8954
95	58868.46122
96	58693.57924
97	58550.93183
98	58383.23085
99	58277.11503
100	58119.39151
101	57984.88862
102	57857.30954
103	57697.63948
104	57539.64393
105	57390.71468
106	57271.1823
107	57145.07188
108	57038.69155
109	56927.76687
110	56807.73061
111	56662.87877
112	56547.59707
113	56407.30938
114	56290.38563
115	56154.16619
116	56009.12039
117	55859.15771
118	55716.5357
119	55572.63036
120	55445.80558
121	55304.07025
122	55250.56552
123	55113.61524
124	54983.11532
125	54862.28986
126	54731.01409
127	54606.515
128	54477.88418
129	54385.51856
130	54245.74069
131	54111.64164
132	54045.81262
133	53921.77826
134	53851.06785
135	53734.48851
136	53616.80204
137	53508.58759
138	53480.98634
139	53367.23581
140	53250.80936
141	53161.57962
142	53032.46338
143	52980.06648
144	52893.34106
145	52818.47498
146	52691.24791
147	52571.46623
148	52475.15212
149	52413.72394
150	52333.86112
151	52203.25045
152	52118.04866
153	52023.63144
154	51916.40856
155	51830.5341
156	51706.13644
157	51650.60499
158	51545.78062
159	51450.8445
160	51332.89506
161	51232.28805
162	51117.2642
163	51005.64981
164	50921.70935
165	50867.55112
166	50790.97063
167	50696.8004
168	50588.64222
169	50496.98701
170	50417.6614
171	50330.74887
172	50257.99037
173	50157.61851
174	50107.80571
175	50009.2265
176	49931.58513
177	49828.13828
178	49708.62035
179	49631.5565
180	49553.84053
181	49450.39898
182	49357.95279
183	49266.27058
184	49224.14872
185	49146.50875
186	49062.85845
187	48996.40809
188	48907.94359
189	48807.33724
190	48738.18993
191	48641.21008
192	48549.37818
193	48454.50471
194	48345.73202
195	48255.24839
196	48226.13891
197	48128.00555
198	48043.31026
199	47972.82886
200	47928.53971
201	47842.19128
202	47766.32862
203	47721.75951
204	47676.07723
205	47610.10648
206	47514.33411
207	47460.23546
208	47390.04161
209	47301.35737
210	47218.19318
211	47175.80163
212	47099.73369
213	47033.47165
214	46935.05529
215	46851.66291
216	46754.74251
217	46681.87079
218	46642.71793
219	46570.96954
220	46492.05913
221	46406.44401
222	46353.72571
223	46299.36337
224	46257.45199
225	46169.56974
226	46092.09077
227	46022.99161
228	45955.91763
229	45874.776
230	45832.37525
231	45771.32538
232	45708.29979
233	45616.26334
234	45547.91399
235	45501.80357
236	45423.35141
237	45353.28921
238	45271.03642
239	45241.89379
240	45170.60142
241	45139.51154
242	45104.48047
243	45034.89848
244	44992.01631
245	44930.94624
246	44861.65016
247	44789.40034
248	44720.93337
249	44651.363
250	44565.66834
251	44494.03989
252	44451.97401
253	44378.33018
254	44300.56586
255	44240.2615
256	44209.37861
257	44154.04994
