iter	Passed	Remaining
0	191	1917519
1	195	979392
2	198	662246
3	201	503160
4	204	409521
5	207	345687
6	211	301948
7	214	268049
8	217	241222
9	220	219951
10	222	202350
11	225	187740
12	229	176661
13	233	166665
14	236	157398
15	239	149235
16	241	141921
17	247	137011
18	251	132085
19	256	127834
20	259	123502
21	263	119364
22	266	115520
23	269	112019
24	272	108828
25	277	106432
26	280	103508
27	282	100748
28	285	98144
29	288	95740
30	292	94066
31	295	92083
32	298	90089
33	300	88192
34	303	86403
35	306	84711
36	310	83736
37	315	82603
38	318	81252
39	322	80244
40	326	79291
41	332	78825
42	335	77581
43	339	76913
44	342	75755
45	344	74643
46	347	73615
47	350	72610
48	354	71999
49	357	71184
50	360	70379
51	364	69691
52	367	68909
53	372	68595
54	376	68014
55	379	67462
56	382	66795
57	388	66555
58	391	65970
59	394	65361
60	397	64721
61	402	64455
62	404	63827
63	407	63235
64	409	62642
65	412	62068
66	415	61564
67	420	61407
68	424	61069
69	427	60613
70	430	60210
71	440	60701
72	445	60563
73	451	60519
74	456	60402
75	460	60066
76	463	59684
77	470	59893
78	474	59624
79	479	59406
80	482	59096
81	486	58824
82	493	58957
83	497	58734
84	501	58453
85	504	58156
86	507	57792
87	510	57490
88	513	57174
89	515	56806
90	518	56494
91	524	56534
92	533	56862
93	537	56631
94	539	56298
95	542	55967
96	547	55915
97	550	55629
98	553	55340
99	556	55052
100	558	54764
101	563	54716
102	568	54653
103	574	54638
104	578	54531
105	581	54252
106	584	54009
107	587	53828
108	590	53586
109	595	53508
110	597	53258
111	600	53008
112	602	52739
113	605	52497
114	608	52288
115	611	52118
116	615	51994
117	619	51851
118	623	51773
119	626	51611
120	629	51389
121	631	51164
122	634	50986
123	638	50823
124	644	50947
125	647	50769
126	650	50572
127	653	50382
128	658	50407
129	663	50404
130	668	50388
131	674	50400
132	676	50208
133	679	50026
134	681	49835
135	684	49654
136	689	49654
137	692	49521
138	695	49362
139	699	49246
140	702	49133
141	708	49165
142	712	49085
143	715	48959
144	721	49051
145	726	49029
146	731	48999
147	734	48883
148	738	48852
149	741	48689
150	744	48534
151	746	48375
152	749	48234
153	754	48241
154	759	48257
155	765	48332
156	770	48298
157	772	48150
158	775	48000
159	778	47859
160	781	47733
161	785	47689
162	788	47560
163	790	47419
164	793	47279
165	796	47159
166	798	47023
167	802	46978
168	805	46843
169	807	46716
170	811	46618
171	813	46492
172	818	46472
173	821	46397
174	826	46407
175	829	46282
176	833	46255
177	836	46142
178	838	46025
179	841	45909
180	844	45790
181	846	45659
182	851	45653
183	853	45544
184	856	45454
185	860	45386
186	864	45376
187	868	45302
188	871	45235
189	875	45183
190	877	45075
191	882	45099
192	886	45051
193	890	45021
194	893	44921
